Year	Location	Longitude	Latitude	CitationCount
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	7
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	3
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	1
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
